"@timestamp",corp,path,query,msec
"May 17, 2022 @ 09:14:04.799","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%272035%27%20AND%20invoiceStatementNumber%3C%272036%27&showTotalMatched=true&uniqueCallId=ac013c1a-4b11-4603-82f0-9e8f16e17797","120,458"
"May 17, 2022 @ 09:14:03.328","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%27203%27%20AND%20invoiceStatementNumber%3C%27204%27&showTotalMatched=true&uniqueCallId=44826443-a03d-4595-a17f-0bcdb12dec14","120,492"
"May 17, 2022 @ 09:13:59.426","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%2720%27%20AND%20invoiceStatementNumber%3C%2721%27&showTotalMatched=true&uniqueCallId=185f387a-89d9-4846-962f-168b55b71570","120,428"
"May 17, 2022 @ 09:12:05.021","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%272035%27%20AND%20invoiceStatementNumber%3C%272036%27&showTotalMatched=true&uniqueCallId=ac013c1a-4b11-4603-82f0-9e8f16e17797","120,681"
"May 17, 2022 @ 09:12:04.891","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%272035%27%20AND%20invoiceStatementNumber%3C%272036%27&showTotalMatched=true&uniqueCallId=ac013c1a-4b11-4603-82f0-9e8f16e17797","120,554"
"May 17, 2022 @ 09:12:03.689","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%27203%27%20AND%20invoiceStatementNumber%3C%27204%27&showTotalMatched=true&uniqueCallId=44826443-a03d-4595-a17f-0bcdb12dec14","120,854"
"May 17, 2022 @ 09:12:03.375","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%27203%27%20AND%20invoiceStatementNumber%3C%27204%27&showTotalMatched=true&uniqueCallId=44826443-a03d-4595-a17f-0bcdb12dec14","120,539"
"May 17, 2022 @ 09:11:59.493","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%2720%27%20AND%20invoiceStatementNumber%3C%2721%27&showTotalMatched=true&uniqueCallId=185f387a-89d9-4846-962f-168b55b71570","120,498"
"May 17, 2022 @ 09:11:59.491","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%2720%27%20AND%20invoiceStatementNumber%3C%2721%27&showTotalMatched=true&uniqueCallId=185f387a-89d9-4846-962f-168b55b71570","120,490"
"May 17, 2022 @ 09:10:04.803","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%272035%27%20AND%20invoiceStatementNumber%3C%272036%27&showTotalMatched=true&uniqueCallId=ac013c1a-4b11-4603-82f0-9e8f16e17797","120,466"
